medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013012398,2013029876,VTS,1,,2013-07-01 00:03:00,2013-07-01 00:07:00,1,240,.99,-73.989265,40.736591,-74.004097,40.742996
2013002215,2013002212,VTS,1,,2013-07-01 00:06:00,2013-07-01 00:20:00,1,840,2.95,-74.000061,40.738876,-74.017075,40.711246
2013010399,2013037704,CMT,1,N,2013-07-01 00:10:09,2013-07-01 00:21:53,4,704,2.40,-74.004555,40.742443,-73.981705,40.763714
2013006429,2013006425,VTS,1,,2013-07-01 00:14:00,2013-07-01 00:23:00,2,540,2.65,-73.964287,40.764683,-73.944763,40.79134
2013004190,2013004187,VTS,1,,2013-07-01 00:16:00,2013-07-01 00:24:00,6,480,2.73,-73.972221,40.794025,-73.951256,40.825287
2013006837,2013009030,CMT,1,N,2013-07-01 00:21:30,2013-07-01 00:50:08,2,1718,23.30,-73.78183,40.644573,-73.902802,40.881554
2013003903,2013003900,CMT,1,N,2013-07-01 00:26:44,2013-07-01 00:45:07,2,1103,6.10,-73.985847,40.735065,-73.899017,40.746025
2013008450,2013001515,VTS,1,,2013-07-01 00:34:00,2013-07-01 00:55:00,6,1260,7.70,-73.999519,40.738781,-73.95079,40.812672
2013000509,2013024398,CMT,1,N,2013-07-01 00:35:22,2013-07-01 00:48:57,3,815,3.40,-73.964767,40.769966,-73.96492,40.75325
2013010913,2013028566,CMT,1,N,2013-07-01 00:41:11,2013-07-01 00:53:07,1,715,3.40,-73.979568,40.727543,-73.972862,40.764557
2013004260,2013001635,CMT,2,N,2013-07-01 00:49:15,2013-07-01 01:16:20,1,1625,17.60,-73.778206,40.646736,-73.991005,40.744724
2013002809,2013018639,CMT,1,N,2013-07-01 00:50:26,2013-07-01 01:01:47,1,680,3.40,-73.982597,40.771748,-73.99987,40.728615
2013008105,2013018995,CMT,1,N,2013-07-01 00:57:31,2013-07-01 00:58:06,1,35,.10,-73.971375,40.782597,-73.971092,40.783527
2013002516,2013010641,VTS,2,,2013-07-01 01:06:00,2013-07-01 01:29:00,1,1380,17.75,-73.783508,40.648563,-73.979172,40.736366
2013005878,2013005875,VTS,2,,2013-07-01 01:13:00,2013-07-01 01:40:00,1,1620,14.17,-73.825813,40.715424,-73.969978,40.799641
2013004260,2013001635,CMT,1,N,2013-07-01 01:18:59,2013-07-01 01:24:11,3,311,1.10,-73.989235,40.743851,-73.990173,40.732014
2013006365,2013002445,VTS,1,,2013-07-01 01:27:00,2013-07-01 01:31:00,1,240,.93,-74.004333,40.742523,-73.994629,40.750504
2013008033,2013008029,VTS,1,,2013-07-01 01:31:00,2013-07-01 01:44:00,2,780,6.70,0,0,0,0
2013009147,2013002641,CMT,1,N,2013-07-01 01:39:47,2013-07-01 01:50:04,1,617,6.30,-73.956238,40.771801,-74.004524,40.707256
2013003985,2013019560,CMT,2,N,2013-07-01 01:46:51,2013-07-01 02:13:47,1,1615,18.00,-73.783737,40.648678,-73.991127,40.765347
2013004010,2013038793,VTS,1,,2013-07-01 01:52:00,2013-07-01 02:02:00,2,600,3.04,-73.988113,40.731907,-73.96859,40.765797
2013007319,2013010088,VTS,2,,2013-07-01 02:03:00,2013-07-01 02:28:00,6,1500,20.40,-73.782188,40.644665,-73.954872,40.76733
2013010672,2013010745,CMT,1,Y,2013-07-01 02:07:22,2013-07-01 02:22:16,1,894,6.40,-73.951485,40.714027,-73.866066,40.754642
2013008302,2013009571,VTS,1,,2013-07-01 02:26:00,2013-07-01 02:35:00,1,540,3.07,-74.000092,40.730442,-73.985374,40.766312
2013011233,2013026540,VTS,1,,2013-07-01 02:37:00,2013-07-01 02:50:00,2,780,5.01,-73.992805,40.763363,-73.941353,40.815193
2013007375,2013026768,VTS,1,,2013-07-01 02:46:00,2013-07-01 02:50:00,1,240,1.29,-73.983871,40.72953,-73.975365,40.74456
2013007042,2013001721,CMT,1,N,2013-07-01 02:53:07,2013-07-01 02:54:52,1,104,.70,-74.002373,40.739082,-73.999077,40.747208
2013010902,2013027365,CMT,1,N,2013-07-01 03:14:09,2013-07-01 03:20:44,1,394,1.40,-73.988098,40.760082,-73.97493,40.746941
2013000019,2013010586,CMT,1,N,2013-07-01 03:29:43,2013-07-01 03:35:05,1,321,1.70,-73.988663,40.748726,-74.004402,40.742462
2013003788,2013032267,VTS,1,,2013-07-01 03:50:00,2013-07-01 03:58:00,1,480,3.62,-74.001221,40.731281,-73.982285,40.776081
2013003632,2013004807,VTS,1,,2013-07-01 03:55:00,2013-07-01 04:08:00,6,780,3.62,-73.958344,40.713398,-73.957085,40.673176
2013003606,2013018548,CMT,1,N,2013-07-01 04:09:36,2013-07-01 04:18:29,1,533,2.40,-73.982719,40.731358,-73.983261,40.757111
2013010803,2013014424,CMT,1,N,2013-07-01 04:23:30,2013-07-01 04:32:34,1,544,3.20,-73.986122,40.722466,-73.961121,40.762299
2013003878,2013012752,CMT,1,N,2013-07-01 04:52:09,2013-07-01 05:13:31,3,1282,12.20,-73.984421,40.759594,-73.861778,40.768177
2013003952,2013014862,CMT,1,N,2013-07-01 05:06:57,2013-07-01 05:13:40,1,403,1.40,-73.957405,40.714523,-73.943291,40.707695
2013005879,2013025326,VTS,1,,2013-07-01 05:19:00,2013-07-01 05:32:00,5,780,3.46,-73.980545,40.734043,-73.988129,40.768997
2013006290,2013020064,CMT,1,N,2013-07-01 05:30:29,2013-07-01 05:47:16,1,1007,4.80,-73.980492,40.767502,-73.986458,40.71946
2013006772,2013010843,CMT,1,N,2013-07-01 05:41:56,2013-07-01 05:56:48,1,891,5.10,-73.921402,40.772896,-73.95919,40.80938
2013002288,2013014938,CMT,1,N,2013-07-01 05:53:14,2013-07-01 05:57:34,1,259,.60,-73.956627,40.770805,-73.953926,40.765163
2013006195,2013013093,VTS,1,,2013-07-01 06:02:00,2013-07-01 06:18:00,1,960,7.96,-73.956703,40.780918,-73.871643,40.773987
2013003386,2013003382,VTS,1,,2013-07-01 06:10:00,2013-07-01 06:21:00,1,660,3.06,-73.958061,40.779148,-73.984711,40.742321
2013007546,2013035530,VTS,1,,2013-07-01 06:19:00,2013-07-01 06:27:00,1,480,2.21,-73.966133,40.765106,-73.991722,40.749855
2013003705,2013014473,VTS,1,,2013-07-01 06:25:00,2013-07-01 06:30:00,5,300,1.59,-73.957954,40.768349,-73.974564,40.756233
2013002777,2013030102,CMT,1,N,2013-07-01 06:29:56,2013-07-01 06:34:27,1,271,1.10,-73.987816,40.728336,-74.004395,40.728523
2013005672,2013020673,CMT,1,N,2013-07-01 06:38:09,2013-07-01 06:46:12,1,483,2.50,-74.001678,40.719051,-73.995209,40.749779
2013011590,2013020664,VTS,1,,2013-07-01 06:43:00,2013-07-01 06:49:00,1,360,1.42,-73.992004,40.749752,-73.986916,40.761463
2013004658,2013013646,CMT,1,N,2013-07-01 06:45:24,2013-07-01 06:51:36,2,371,1.80,-74.002914,40.747463,-73.978981,40.75264
2013000768,2013020231,CMT,1,N,2013-07-01 06:50:55,2013-07-01 06:59:52,1,537,2.30,-74.000664,40.742191,-73.97567,40.763138
2013001856,2013014328,VTS,1,,2013-07-01 06:53:00,2013-07-01 06:58:00,1,300,.87,-73.990021,40.756451,-73.982307,40.758656
2013012258,2013020987,CMT,1,N,2013-07-01 06:57:58,2013-07-01 07:02:37,2,279,.50,-73.995529,40.724983,-73.987732,40.72147
2013006308,2013023237,CMT,1,N,2013-07-01 06:59:25,2013-07-01 07:06:56,1,450,2.70,-73.959305,40.771793,-73.985275,40.741245
2013000045,2013033589,VTS,1,,2013-07-01 07:03:00,2013-07-01 07:11:00,5,480,.92,-73.978302,40.74572,-73.984886,40.754128
2013008110,2013011216,CMT,1,N,2013-07-01 07:08:21,2013-07-01 07:09:43,1,81,.40,-73.974808,40.754608,-73.971214,40.761269
2013003159,2013020869,CMT,1,N,2013-07-01 07:11:04,2013-07-01 07:13:39,1,154,.60,-73.976151,40.755424,-73.973389,40.761032
2013006117,2013012297,VTS,1,,2013-07-01 07:14:00,2013-07-01 07:25:00,1,660,2.59,-73.952286,40.773846,-73.979485,40.758476
2013003873,2013010814,CMT,1,N,2013-07-01 07:19:15,2013-07-01 07:24:11,1,295,.90,-73.986023,40.738331,-73.990677,40.747124
2013007206,2013016735,CMT,1,N,2013-07-01 07:21:06,2013-07-01 07:37:53,1,1006,7.40,-73.978973,40.684647,-73.971077,40.753677
2013004774,2013027016,VTS,1,,2013-07-01 07:26:00,2013-07-01 07:45:00,5,1140,7.40,-73.94632,40.775558,-73.916359,40.867687
2013006522,2013012985,CMT,1,N,2013-07-01 07:26:21,2013-07-01 07:45:09,2,1128,3.90,-74.008881,40.713734,-73.977379,40.764141
2013006465,2013027462,CMT,1,N,2013-07-01 07:29:38,2013-07-01 07:38:04,1,505,1.00,-73.990906,40.757164,-73.975868,40.756474
2013012351,2013021854,CMT,1,N,2013-07-01 07:35:31,2013-07-01 07:53:24,1,1072,6.80,-74.004173,40.707104,-74.023682,40.64566
2013004854,2013011147,VTS,1,,2013-07-01 07:37:00,2013-07-01 07:48:00,5,660,3.33,-73.98983,40.767544,-74.008553,40.72966
2013005636,2013015528,CMT,1,N,2013-07-01 07:40:52,2013-07-01 07:51:46,1,654,1.90,-73.950279,40.775711,-73.970268,40.759361
2013009512,2013013754,VTS,1,,2013-07-01 07:42:00,2013-07-01 08:08:00,6,1560,8.56,-73.984573,40.73204,-73.907921,40.825737
2013003991,2013023406,CMT,1,N,2013-07-01 07:44:45,2013-07-01 07:57:11,2,745,2.30,-73.994987,40.750034,-73.967819,40.761196
2013003661,2013016320,VTS,1,,2013-07-01 07:49:00,2013-07-01 08:02:00,1,780,3.96,-73.946747,40.775002,-73.9842,40.740948
2013007561,2013007557,VTS,1,,2013-07-01 07:53:00,2013-07-01 07:56:00,1,180,.87,-73.983109,40.754955,-73.979729,40.765316
2013001649,2013026819,CMT,1,N,2013-07-01 07:55:53,2013-07-01 08:05:50,1,596,2.40,0,0,0,0
2013009841,2013012807,CMT,1,N,2013-07-01 07:57:40,2013-07-01 08:06:55,1,555,1.50,-73.99044,40.757004,-73.975189,40.74979
2013012050,2013030849,CMT,1,N,2013-07-01 08:00:04,2013-07-01 08:06:10,1,365,1.20,-73.992203,40.759033,-73.98156,40.763645
2013008394,2013032316,CMT,1,N,2013-07-01 08:04:10,2013-07-01 08:27:59,1,1428,1.50,-74.011314,40.715641,-74.000343,40.723743
2013012287,2013021302,VTS,1,,2013-07-01 08:07:00,2013-07-01 08:11:00,1,240,.58,-73.985924,40.741798,-73.986252,40.746681
2013008136,2013017176,CMT,1,N,2013-07-01 08:09:57,2013-07-01 08:19:42,1,585,2.20,-73.959251,40.780994,-73.975273,40.754696
2013002421,2013011496,CMT,1,N,2013-07-01 08:12:09,2013-07-01 08:28:36,1,986,3.00,0,0,0,0
2013013358,2013033772,CMT,1,N,2013-07-01 08:14:28,2013-07-01 08:25:56,1,688,1.90,-73.916664,40.763813,-73.916664,40.763813
2013006319,2013029068,CMT,1,N,2013-07-01 08:17:59,2013-07-01 08:28:38,1,638,2.30,-73.975204,40.733021,-73.967667,40.760464
2013003068,2013010865,CMT,1,N,2013-07-01 08:19:18,2013-07-01 08:24:39,2,320,1.30,-73.985161,40.764221,-74.000572,40.757912
2013001932,2013020069,CMT,1,N,2013-07-01 08:21:52,2013-07-01 08:26:09,1,257,.70,-73.965843,40.758835,-73.9729,40.752682
2013000346,2013013651,CMT,1,N,2013-07-01 08:24:59,2013-07-01 08:31:02,1,363,.70,-73.989525,40.748039,-73.989525,40.748039
2013004764,2013015713,VTS,1,,2013-07-01 08:27:00,2013-07-01 08:32:00,4,300,.78,-73.978348,40.74567,-73.973587,40.755085
2013000283,2013016958,VTS,1,,2013-07-01 08:29:00,2013-07-01 08:37:00,1,480,1.74,-73.961349,40.77457,-73.976952,40.760658
2013010187,2013014802,VTS,1,,2013-07-01 08:33:00,2013-07-01 09:02:00,6,1740,3.27,-73.990891,40.750938,-74.007614,40.708973
2013002873,2013025647,VTS,1,,2013-07-01 08:35:00,2013-07-01 08:43:00,5,480,.64,-73.995316,40.754971,-73.999802,40.758793
2013013432,2013013787,VTS,1,,2013-07-01 08:36:00,2013-07-01 09:10:00,6,2040,4.75,-73.991112,40.75563,-74.011925,40.707958
2013000984,2013034400,CMT,1,N,2013-07-01 08:39:07,2013-07-01 08:54:07,1,899,2.50,-73.999969,40.72155,-73.992661,40.750072
2013008394,2013032316,CMT,1,N,2013-07-01 08:41:01,2013-07-01 08:43:41,1,160,1.00,-73.996483,40.738007,-73.985481,40.745541
2013006475,2013032253,CMT,1,N,2013-07-01 08:43:59,2013-07-01 08:58:01,1,841,1.50,-73.939896,40.751232,-73.965027,40.760113
2013009440,2013035851,VTS,1,,2013-07-01 08:47:00,2013-07-01 09:26:00,1,2340,10.03,-73.963684,40.777023,-73.872459,40.774521
2013009862,2013037491,VTS,1,,2013-07-01 08:50:00,2013-07-01 09:20:00,1,1800,3.83,-74.004906,40.748184,-73.97699,40.761971
2013002917,2013016668,VTS,1,,2013-07-01 08:52:00,2013-07-01 09:16:00,1,1440,7.09,-74.012024,40.720551,-73.955925,40.788002
2013005169,2013005166,VTS,1,,2013-07-01 08:54:00,2013-07-01 08:58:00,1,240,1.14,-74.007339,40.743198,-73.998581,40.756973
2013000487,2013010777,CMT,1,N,2013-07-01 08:55:42,2013-07-01 09:09:43,1,840,1.70,-73.98082,40.774773,-73.965988,40.789886
2013001994,2013016689,VTS,1,,2013-07-01 08:58:00,2013-07-01 09:08:00,1,600,1.53,-73.998291,40.737057,-73.998161,40.722836
2013008496,2013020406,CMT,1,N,2013-07-01 09:01:00,2013-07-01 09:09:05,1,484,.90,-73.996155,40.758686,-73.983902,40.757942
2013006944,2013017134,VTS,1,,2013-07-01 09:03:00,2013-07-01 09:13:00,6,600,.72,-73.991348,40.750664,-73.986107,40.750828
2013002318,2013011309,CMT,1,N,2013-07-01 09:06:56,2013-07-01 09:27:02,2,1206,2.50,-73.99028,40.754921,-73.997643,40.730095
2013008549,2013013174,VTS,1,,2013-07-01 09:09:00,2013-07-01 09:15:00,1,360,.50,-73.982292,40.748596,-73.9795,40.752808
2013012156,2013029054,VTS,1,,2013-07-01 09:11:00,2013-07-01 09:28:00,4,1020,2.33,-73.999405,40.754196,-73.973457,40.757767
2013001667,2013021392,CMT,1,N,2013-07-01 09:12:44,2013-07-01 09:21:50,1,545,1.30,0,0,0,0
2013010631,2013026200,VTS,1,,2013-07-01 09:16:00,2013-07-01 09:33:00,2,1020,6.48,-74.013496,40.716946,-73.971924,40.752151
2013005315,2013013177,CMT,1,N,2013-07-01 09:18:41,2013-07-01 09:27:25,1,524,.40,-73.979294,40.755901,-73.980431,40.761238
2013012176,2013020245,CMT,2,N,2013-07-01 09:20:42,2013-07-01 09:57:31,2,2209,17.20,-73.776711,40.645302,-73.984299,40.748386
2013012807,2013036467,CMT,1,N,2013-07-01 09:24:01,2013-07-01 09:31:16,1,434,1.10,-74.007675,40.742729,-73.997231,40.75787
2013005362,2013015208,CMT,1,N,2013-07-01 09:26:20,2013-07-01 09:31:11,1,291,.90,-73.989326,40.773113,-73.980545,40.781536
2013004413,2013021681,VTS,1,,2013-07-01 09:29:00,2013-07-01 09:50:00,1,1260,2.73,-73.954407,40.769962,-73.98114,40.747417
2013010891,2013012216,VTS,1,,2013-07-01 09:30:00,2013-07-01 09:38:00,1,480,1.20,-74.006554,40.744476,-73.987503,40.738594
2013010190,2013014348,VTS,1,,2013-07-01 09:34:00,2013-07-01 09:45:00,1,660,.84,-73.975815,40.715801,-73.975815,40.715801
