medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013004720,2013004717,CMT,1,N,2013-01-01 01:24:23,2013-01-01 01:26:28,1,124,.50,-73.864357,40.769936,-73.870148,40.770374
2013008386,2013008382,CMT,1,N,2013-01-01 01:25:51,2013-01-01 01:45:52,1,1201,3.00,-73.961243,40.796555,-73.95462,40.765675
2013005433,2013005430,VTS,1,,2013-01-01 01:28:00,2013-01-01 01:35:00,2,420,1.88,-73.965401,40.763329,-73.94548,40.778442
2013009652,2013009649,VTS,1,,2013-01-01 01:30:00,2013-01-01 01:35:00,2,300,1.35,-73.978218,40.783428,-73.984978,40.768951
2013005726,2013005723,CMT,1,N,2013-01-01 01:31:28,2013-01-01 01:57:05,2,1536,9.60,-73.962379,40.758099,-73.950119,40.673748
2013007338,2013007334,VTS,1,,2013-01-01 01:34:00,2013-01-01 01:39:00,1,300,.80,-73.946106,40.781479,-73.946815,40.788647
2013010265,2013010272,VTS,1,,2013-01-01 01:36:00,2013-01-01 02:05:00,1,1740,5.18,-73.986465,40.722221,-73.974327,40.778477
2013009065,2013009062,CMT,1,N,2013-01-01 01:38:11,2013-01-01 01:42:53,1,282,.90,-74.002235,40.726467,-74.004318,40.737999
2013000072,2013000072,CMT,1,N,2013-01-01 01:39:28,2013-01-01 01:45:16,1,347,.90,-73.997604,40.756546,-73.999138,40.761261
2013005981,2013005977,CMT,1,N,2013-01-01 01:41:11,2013-01-01 01:57:08,2,957,1.60,-73.979385,40.761143,-73.991867,40.75983
2013008933,2013008929,CMT,1,N,2013-01-01 01:43:00,2013-01-01 02:31:08,1,2887,13.00,-73.983543,40.7812,-73.994835,40.632225
2013002611,2013002608,VTS,1,,2013-01-01 01:45:00,2013-01-01 01:56:00,6,660,1.51,-73.964607,40.757336,-73.979752,40.744045
2013005318,2013005315,CMT,1,N,2013-01-01 01:47:55,2013-01-01 02:09:13,1,1278,6.60,-73.994743,40.748863,-73.953125,40.812843
2013004329,2013004326,CMT,1,N,2013-01-01 01:48:49,2013-01-01 02:22:46,1,2036,8.40,-73.977936,40.778706,-73.96666,40.714897
2013005952,2013005948,CMT,1,N,2013-01-01 01:50:16,2013-01-01 02:20:21,1,1805,9.20,-73.974792,40.680832,-73.957817,40.773689
2013000440,2013000438,VTS,1,,2013-01-01 01:54:00,2013-01-01 01:57:00,5,180,.92,-73.958054,40.771374,-73.952194,40.781204
2013000777,2013000774,CMT,1,N,2013-01-01 01:55:49,2013-01-01 02:11:46,2,956,3.40,-73.97599,40.791466,-73.964844,40.756397
2013005743,2013005740,CMT,1,N,2013-01-01 01:56:44,2013-01-01 02:02:42,1,358,1.70,-73.981201,40.733192,-73.97625,40.715778
2013008699,2013008695,CMT,1,N,2013-01-01 01:58:50,2013-01-01 02:00:50,1,119,.20,-73.993851,40.746635,-73.991463,40.744751
2013003544,2013003540,CMT,1,N,2013-01-01 02:00:21,2013-01-01 02:03:32,2,190,.70,-73.955864,40.772099,-73.949013,40.777256
2013009270,2013009267,CMT,1,N,2013-01-01 02:02:14,2013-01-01 02:25:32,2,1397,2.20,-73.982468,40.772327,-73.993805,40.752335
2013008115,2013008111,CMT,1,N,2013-01-01 02:04:51,2013-01-01 02:21:41,1,1009,3.10,-73.980728,40.721554,-73.991295,40.749908
2013006476,2013006472,CMT,1,N,2013-01-01 02:06:13,2013-01-01 02:08:38,1,144,.40,-73.989525,40.725471,-73.995445,40.728188
2013000485,2013000483,CMT,1,N,2013-01-01 02:09:19,2013-01-01 02:31:16,1,1316,5.20,-73.952805,40.792328,-73.98674,40.730755
2013004189,2013004186,VTS,1,,2013-01-01 02:12:00,2013-01-01 02:19:00,1,420,3.50,-73.97998,40.72678,-74.011559,40.703167
2013000236,2013000236,VTS,1,,2013-01-01 02:13:00,2013-01-01 02:17:00,1,240,.67,-73.972366,40.794876,-73.97644,40.788315
2013008904,2013008900,VTS,1,,2013-01-01 02:16:00,2013-01-01 02:32:00,5,960,6.93,-73.98365,40.664356,-73.946106,40.712955
2013007583,2013007579,VTS,1,,2013-01-01 02:18:00,2013-01-01 02:26:00,6,480,2.16,-73.957581,40.770966,-73.9823,40.779751
